거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	담보대출상환금	매도담보상환금	신용거래구분(Hide)	세금합계	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	신용이자	매도담보상환이자	적요명(Hide)		상환차금	처리시간
	보통매매  KOSDAQ매수	"37,450.00"	110				20				KOSDAQ매수			0:40:38
2014-02-28			"9,000,000"		"9,000,000"		"12,024,148"							영웅문S
	  이체입금						0				이체입금			10:18:41
2014-02-28			"1,000,000"		"1,000,000"		"13,024,148"							영웅문S
	  이체입금						0				이체입금			14:22:59
2014-03-03	LG생활건강	1	"439,500"				"13,024,148"				보통매매			영웅문S
	보통매매  장내매도	"439,500.00"					13				장내매도			0:44:46
2014-03-03	LG생활건강	1	"440,000"	"2,638"	"876,732"		"13,900,880"				보통매매			영웅문S
	보통매매  장내매도	"440,000.00"	130				12				장내매도			0:44:46
2014-03-03	현대글로비스	2	"463,000"	"1,388"	"461,552"		"14,362,432"				보통매매			영웅문S
	보통매매  장내매도	"231,500.00"	60				60				장내매도			0:44:46
2014-03-03	CJE&M	11	"418,000"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,000.00"					31				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	10	"380,500"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,050.00"					41				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	14	"533,400"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,100.00"					55				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	13	"495,950"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,150.00"					68				KOSDAQ매수			0:44:47
2014-03-03	CJE&M	5	"191,250"				"14,362,432"				보통매매			영웅문S
	보통매매  KOSDAQ매수	"38,250.00"					73				KOSDAQ매수			0:44:47
