거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	상환차금	처리시간
2014-03-11	쎌바이오텍	210	"5,554,500"				"1,126,703"			영웅문S(2015)
	보통매매 KOSDAQ매도	"26,450.00"					"1,400"			0:38:25
2014-03-11	쎌바이오텍	100	"2,670,000"	"24,672"	"8,198,598"		"9,325,301"			영웅문S(2015)
	보통매매 KOSDAQ매도	"26,700.00"	"1,230"				"1,300"			0:38:25
2014-03-14	쎌바이오텍	30	"849,000"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,300.00"					"1,330"			0:39:19
2014-03-14	쎌바이오텍	20	"568,000"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,400.00"					"1,350"			0:39:19
2014-03-14	쎌바이오텍	30	"853,500"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,450.00"					"1,380"			0:39:19
2014-03-14	쎌바이오텍	10	"285,000"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,500.00"					"1,390"			0:39:19
2014-03-14	쎌바이오텍	10	"285,500"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,550.00"					"1,400"			0:39:19
2014-03-14	쎌바이오텍	10	"286,500"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,650.00"					"1,410"			0:39:19
2014-03-14	쎌바이오텍	10	"287,000"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,700.00"					"1,420"			0:39:19
2014-03-14	쎌바이오텍	40	"1,152,000"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,800.00"					"1,460"			0:39:19
2014-03-14	쎌바이오텍	20	"577,000"				"23,740,577"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,850.00"					"1,480"			0:39:19
2014-03-14	쎌바이오텍	20	"578,000"		"5,722,350"		"18,018,227"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,900.00"	850				"1,500"			0:39:19
2014-03-26	쎌바이오텍	140	"4,088,000"				"10,447,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,200.00"					"1,640"			0:39:31
2014-03-26	쎌바이오텍	20	"585,000"				"10,447,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,250.00"					"1,660"			0:39:31
2014-03-26	쎌바이오텍	20	"589,000"				"10,447,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,450.00"					"1,680"			0:39:31
2014-03-26	쎌바이오텍	20	"590,000"				"10,447,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,500.00"					"1,700"			0:39:31
2014-03-26	쎌바이오텍	20	"591,000"				"10,447,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,550.00"					"1,720"			0:39:31
2014-03-26	쎌바이오텍	20	"592,000"		"7,036,050"		"3,411,592"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,600.00"	"1,050"				"1,740"			0:39:31
2014-03-27	쎌바이오텍	30	"858,000"				"488,162"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,600.00"					"1,770"			0:40:12
2014-03-27	쎌바이오텍	30	"859,500"		"1,717,750"		"-1,229,588"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,650.00"	250		"1,229,588"		"1,800"			0:40:12
2014-03-31	쎌바이오텍		"127,500"		"107,870"		"2,034,072"			지점
	 배당금입금			"19,630"			0			15:11:10
2014-04-30	쎌바이오텍	10	"299,000"				"4,254,923"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,900.00"					"1,810"			0:39:28
2014-04-30	쎌바이오텍	10	"299,500"				"4,254,923"			영웅문S(2015)
	보통매매 KOSDAQ매수	"29,950.00"					"1,820"			0:39:28
2014-04-30	쎌바이오텍	5	"150,000"				"4,254,923"			영웅문S(2015)
	보통매매 KOSDAQ매수	"30,000.00"					"1,825"			0:39:28
2014-04-30	쎌바이오텍	10	"300,500"				"4,254,923"			영웅문S(2015)
	보통매매 KOSDAQ매수	"30,050.00"					"1,835"			0:39:28
2014-04-30	쎌바이오텍	5	"150,500"		"1,199,670"		"3,055,253"			영웅문S(2015)
	보통매매 KOSDAQ매수	"30,100.00"	170				"1,840"			0:39:28
2014-05-07	쎌바이오텍	15	"472,500"				"9,443,643"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,500.00"					"1,855"			0:36:46
2014-05-07	쎌바이오텍	10	"315,500"				"9,443,643"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,550.00"					"1,865"			0:36:46
2014-05-07	쎌바이오텍	5	"158,000"				"9,443,643"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,600.00"					"1,870"			0:36:46
2014-05-07	쎌바이오텍	5	"158,250"				"9,443,643"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,650.00"					"1,875"			0:36:46
2014-05-07	쎌바이오텍	5	"158,500"		"1,262,930"		"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,700.00"	180				"1,880"			0:36:46
2014-05-08	쎌바이오텍	10	"316,500"				"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,650.00"					"1,890"			0:38:37
2014-05-08	쎌바이오텍	10	"317,000"				"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,700.00"					"1,900"			0:38:37
2014-05-08	쎌바이오텍	5	"158,750"				"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,750.00"					"1,905"			0:38:37
2014-05-08	쎌바이오텍	5	"159,250"				"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"31,850.00"					"1,910"			0:38:37
2014-05-08	쎌바이오텍	5	"160,000"				"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"32,000.00"					"1,915"			0:38:37
2014-05-08	쎌바이오텍	5	"160,250"				"8,180,713"			영웅문S(2015)
	보통매매 KOSDAQ매수	"32,050.00"					"1,920"			0:38:37
2014-05-08	쎌바이오텍	3	"96,300"		"1,368,250"		"6,812,463"			영웅문S(2015)
	보통매매 KOSDAQ매수	"32,100.00"	200				"1,923"			0:38:37
2014-05-12	쎌바이오텍	5	"168,750"				"566,263"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,750.00"					"1,928"			0:36:13
2014-05-12	쎌바이오텍	9	"304,200"				"566,263"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,800.00"					"1,937"			0:36:13
2014-05-12	쎌바이오텍	3	"101,550"				"566,263"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,850.00"					"1,940"			0:36:13
2014-05-12	쎌바이오텍	3	"101,700"				"566,263"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,900.00"					"1,943"			0:36:13
2014-05-12	쎌바이오텍	2	"67,900"				"566,263"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,950.00"					"1,945"			0:36:13
2014-05-12	쎌바이오텍	3	"102,000"				"566,263"			영웅문S(2015)
	보통매매 KOSDAQ매수	"34,000.00"					"1,948"			0:36:13
2014-05-12	쎌바이오텍	2	"68,200"		"914,430"		"-348,167"			영웅문S(2015)
	보통매매 KOSDAQ매수	"34,100.00"	130		"348,167"		"1,950"			0:36:13
2014-05-14	쎌바이오텍	15	"498,750"				"2,068,361"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,250.00"					"1,965"			0:38:35
2014-05-14	쎌바이오텍	20	"666,000"				"2,068,361"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,300.00"					"1,985"			0:38:35
2014-05-14	쎌바이오텍	5	"169,000"		"1,333,950"		"734,411"			영웅문S(2015)
	보통매매 KOSDAQ매수	"33,800.00"	200				"1,990"			0:38:35
2014-05-16	쎌바이오텍	5	"171,500"				"2,619,101"			영웅문S(2015)
	보통매매 KOSDAQ매수	"34,300.00"					"1,995"			0:39:22
2014-05-16	쎌바이오텍	3	"103,050"				"2,619,101"			영웅문S(2015)
	보통매매 KOSDAQ매수	"34,350.00"					"1,998"			0:39:22
2014-05-16	쎌바이오텍	2	"68,800"		"343,400"		"2,275,701"			영웅문S(2015)
	보통매매 KOSDAQ매수	"34,400.00"	50				"2,000"			0:39:22
2014-05-29	쎌바이오텍	10	"376,000"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,600.00"					"2,010"			0:40:06
2014-05-29	쎌바이오텍	10	"376,500"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,650.00"					"2,020"			0:40:06
2014-05-29	쎌바이오텍	25	"942,500"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,700.00"					"2,045"			0:40:06
2014-05-29	쎌바이오텍	10	"377,500"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,750.00"					"2,055"			0:40:06
2014-05-29	쎌바이오텍	5	"189,000"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,800.00"					"2,060"			0:40:07
2014-05-29	쎌바이오텍	10	"378,500"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,850.00"					"2,070"			0:40:07
2014-05-29	쎌바이오텍	10	"379,000"				"13,818,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,900.00"					"2,080"			0:40:07
2014-05-29	쎌바이오텍	10	"379,500"		"3,399,000"		"10,419,031"			영웅문S(2015)
	보통매매 KOSDAQ매수	"37,950.00"	500				"2,090"			0:40:07
2014-05-30	쎌바이오텍	10	"390,000"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,000.00"					"2,100"			0:40:27
2014-05-30	쎌바이오텍	10	"391,000"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,100.00"					"2,110"			0:40:27
2014-05-30	쎌바이오텍	10	"391,500"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,150.00"					"2,120"			0:40:27
2014-05-30	쎌바이오텍	10	"394,500"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,450.00"					"2,130"			0:40:27
2014-05-30	쎌바이오텍	10	"395,000"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,500.00"					"2,140"			0:40:27
2014-05-30	쎌바이오텍	10	"395,500"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,550.00"					"2,150"			0:40:27
2014-05-30	쎌바이오텍	5	"198,000"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,600.00"					"2,155"			0:40:27
2014-05-30	쎌바이오텍	5	"198,250"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,650.00"					"2,160"			0:40:27
2014-05-30	쎌바이오텍	10	"398,000"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,800.00"					"2,170"			0:40:27
2014-05-30	쎌바이오텍	15	"598,500"				"9,727,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"39,900.00"					"2,185"			0:40:27
2014-05-30	쎌바이오텍	5	"200,000"				"9,727,842"			영웅문S(2015)
